,R_mean,R_std,R_sum,G_mean,G_std,G_sum,B_mean,B_std,B_sum,total_mean,total_std,total_sum,class
876,170.0946667729592,55.87759952863222,8534670,159.8924186862245,65.74071632137233,8022762,175.16137197066325,55.78323636118332,8788897,168.38281914328232,59.65702940173669,25346329,cellSpace
877,157.0905612244898,36.98290499237212,7882176,151.0399792729592,41.50612828798603,7578582,185.3718710140306,28.95516382017654,9301219,164.50080383715985,39.16036430548584,24761977,cellSpace
878,197.09032206632654,38.084777382356066,9889204,190.39626514668367,44.08887844354049,9553323,206.4015664859694,35.37944424201612,10356405,197.96271789965985,39.8965787704599,29798932,cellSpace
879,168.8263711734694,43.705113030486935,8471032,160.16147161989795,50.64494594727792,8036262,173.00564014668367,43.0806234734177,8680731,167.33116098001702,46.24870227629769,25188025,cellSpace
880,202.11519451530611,31.954860122573454,10141332,204.62964365433675,33.485320881327105,10267497,208.39305644132654,27.021952342857205,10456330,205.04596487032313,31.051202170027338,30865159,cellSpace
881,102.28272480867346,21.331634941369266,5132138,91.91222895408163,23.29125951460465,4611788,133.61310188137756,19.35440609917219,6704171,109.26935188137755,27.77778064526265,16448097,cellSpace
882,185.17231345663265,47.52400922526499,9291206,178.5348573022959,55.930382883400526,8958165,185.9075255102041,44.943769989899174,9328096,183.20489875637756,49.79848003834366,27577467,cellSpace
883,207.9534837372449,43.72440154693726,10434274,208.68917410714286,46.93331839053129,10471188,211.52654655612244,32.56538649119912,10613556,209.38973480017006,41.56193623171211,31519018,cellSpace
884,193.8053651147959,40.09323109257452,9724378,191.70557637117346,46.977114429566385,9619019,195.96293048469389,40.03498974139224,9832636,193.82462399022108,42.52912708385834,29176033,cellSpace
885,160.15708705357142,32.11154471846643,8036042,131.78445870535714,42.35545834647342,6612417,154.8879544005102,37.18522547056008,7771658,148.94316671981292,39.42668690023762,22420117,cellSpace
886,202.3008410395408,22.951878784237383,10150647,199.8854432397959,24.60459695182908,10029452,212.98012994260205,15.577015087187991,10686491,205.05547140731292,22.150513331385554,30866590,cellSpace
